X_COORD,Y_COORD,GEO2,DIST_FROM_WEST_KM
89.99855,22.9674,355163368,106.4747538
91.21138,22.95989,758047040,230.518961
91.20035,22.95888,758047874,229.3814821
90.00603,22.96819,355163009,107.2472846
89.3793,22.95524,410442132,43.85249077
89.73179,22.94841,479454481,79.07014446
89.83118,22.95782,353221376,89.31280483
90.03011,22.96298,355107268,109.6276613
89.96794,22.96552,355163477,103.3328443
90.0055,22.96507,355163507,107.1494881
89.59716,22.9595,474066260,65.67341097
91.19248,22.95597,758047321,228.5579993
89.56698,22.95957,474066023,62.64287968
89.93617,22.95484,359138203,99.94841326
89.85216,22.9609,353273681,91.4924332
89.88241,22.95063,359119135,94.41594807
89.81282,22.9395,353221250,87.17581299
90.01767,22.95985,355107905,108.3186246
89.99654,22.96121,355163049,106.1839975
89.94999,22.94858,355163278,101.2739606
89.51974,22.94386,410463939,57.54399405
89.58704,22.95025,474066734,64.45762801
89.98691,22.95602,355163706,105.1335679
89.43075,22.93905,476957414,48.50306402
90.00093,22.95591,355163686,106.5611084
89.91239,22.95509,359138293,97.53058335
89.97764,22.9519,355163388,104.1353373
89.55447,22.95504,474017615,61.28344605
89.85395,22.9501,359166248,91.51159499
89.8244,22.94789,353221172,88.47291814
89.56029,22.9536,474017094,61.83601315
90.01618,22.94197,355194308,107.9493698
89.67081,22.94797,479481385,72.88006834
89.60347,22.94182,474066118,65.95182079
89.41424,22.94876,476957124,47.11198695
90.02973,22.94599,355194875,109.3784048
89.62051,22.9535,479427320,67.89963223
89.92566,22.93787,359138542,98.66078794
89.57246,22.95165,474017900,63.01801148
89.36782,22.94586,410442309,42.43123702
89.98139,22.9423,355147358,104.4009643
89.65346,22.94634,479481834,71.09389402
89.70996,22.93037,479454930,76.57548548
89.96345,22.94469,355163059,102.5984469
89.9986,22.9416,355147945,106.149992
89.55089,22.93118,474017592,60.43536067
89.9715,22.94126,355163069,103.379332
89.57181,22.93712,474017923,62.66168205
89.67918,22.93716,479481994,73.54716803
89.40642,22.93861,476957373,46.06103624
90.05316,22.93827,355194666,111.6876829
89.85446,22.92666,359166678,91.26298587
89.42756,22.93065,476957248,47.98417499
89.83302,22.94056,353221235,89.24781526
89.72645,22.93058,479454192,78.25727479
89.22338,22.9253,413828630,27.61289733
89.37665,22.9373,410442331,43.06059876
89.53388,22.93064,474017805,58.70406866
89.1239,22.91476,874315255,17.75982486
89.38838,22.93573,410442342,44.18681343
89.26688,22.93494,413857343,32.17913794
89.02864,22.93095,874379178,9.719594072
89.24833,22.93546,413857434,30.40277941
89.36733,22.93466,410442176,42.06178648
89.64735,22.92233,479427513,70.08851926
89.84625,22.93153,359166768,90.48168106
89.58488,22.93746,474066521,63.99034702
89.58954,22.92759,474066568,64.29140886
89.56803,22.9218,474017544,62.01410671
89.66152,22.91922,479427802,71.48919861
89.94795,22.92605,355163895,100.8087557
89.3954,22.9276,476957538,44.68662508
89.19734,22.92102,413828728,24.94134364
89.09053,22.92282,874315501,15.1819313
88.99801,22.92507,874371535,6.646845573
89.87017,22.92862,359119994,92.88928255
89.16776,22.92375,413885511,22.25020489
89.23577,22.92916,413828812,28.95390733
89.27715,22.93241,413857315,33.09239264
89.3627,22.92794,410442574,41.42320163
90.02593,22.92066,355147497,108.7351285
89.05655,22.92531,874379433,12.16910988
89.41536,22.92502,476957787,46.63207498
89.52913,22.92032,474017142,58.04094126
89.18266,22.92319,413885574,23.62940452
89.21362,22.92727,413828385,26.74866027
89.06794,22.92423,874315739,13.15918831
89.99506,22.92456,355147288,105.6117207
89.28506,22.92206,413857840,33.54345535
89.02712,22.91797,874379238,9.044533947
89.25921,22.92222,413857672,30.99988507
89.25028,22.92351,413857749,30.16635409
89.27169,22.92087,413857140,32.1868776
89.37692,22.92199,473020541,42.70180851
89.95875,22.91084,359128920,101.7754969
89.87242,22.91909,359119429,93.01738676
89.24338,22.92355,413828238,29.49334213
89.15826,22.92238,413885133,21.30000338
89.29807,22.91814,413857686,34.72328766
89.91476,22.91917,359176045,97.34749611
89.01016,22.92162,874371756,7.564463323
89.6781,22.92672,479481224,73.28075244
89.01983,22.91951,874371467,8.392621415
89.03876,22.92059,874379714,10.27088624
89.60578,22.88598,479440609,65.43457779
89.40852,22.91518,473020980,45.73724447
89.10534,22.91901,874315688,16.32401751
89.23259,22.91761,413828210,28.23877237
89.06246,22.91484,874379748,12.22415725
89.07593,22.90823,874315858,13.11900044
89.03246,22.91703,874379017,9.538716438
89.36211,22.91153,473020285,40.98142997
89.20749,22.90997,413828154,25.52803768
88.98233,22.9135,874371102,4.608944852
89.66668,22.90601,479467770,71.8557548
89.2574,22.91012,413857805,30.45983254
89.45944,22.89256,473067852,50.54481964
88.96915,22.91141,874307578,3.347336975
89.14344,22.90763,413885252,19.25192407
89.16426,22.90255,413885924,21.05502346
89.04017,22.91358,874379892,10.08042751
89.09246,22.91251,874315195,14.82068896
89.93754,22.90593,359128215,99.56462497
89.67344,22.91638,479467417,72.6676241
89.34824,22.91254,473020714,39.60695943
89.99429,22.91022,355147338,105.4100128
89.30844,22.9063,413876735,35.46703616
88.98981,22.90492,874371901,4.963043391
89.89588,22.91241,359176791,95.35355859
89.34071,22.91411,413876875,38.88570836
89.00427,22.9101,874371212,6.547247154
89.2478,22.90978,413828637,29.49732536
89.32676,22.91213,413876497,37.43989354
89.33517,22.91394,413876567,38.3257822
89.88631,22.90553,359176429,94.31534066
89.7144,22.89903,479467674,76.66439825
89.23973,22.91179,413828553,28.7574167
89.01561,22.9104,874371280,7.677559645
88.97568,22.90556,874371884,3.610343735
89.23291,22.90471,413828070,27.87673494
89.28518,22.90644,413857623,33.13678419
89.91475,22.90211,359176972,97.20135466
89.17724,22.90151,413885441,22.28566271
89.6823,22.90705,479467738,73.46266416
89.05013,22.90908,874379561,10.81229901
89.33122,22.90334,413876021,37.69789619
89.02293,22.90155,874331765,7.914603216
89.21809,22.90964,413828539,26.5581528
89.03256,22.90838,874379314,9.127163562
88.99513,22.90009,874371025,5.320661858
89.08721,22.90044,874355799,13.68922174
89.19156,22.90254,413828322,23.72448162
89.06509,22.90729,874379603,12.07271631
89.54827,22.89969,474057213,59.69414146
89.53041,22.90739,474057710,57.97337898
89.68921,22.90152,479467641,74.11160103
89.36894,22.90111,473020147,41.46955976
89.04798,22.89967,874379552,10.12511135
89.10413,22.89624,874355969,15.04640105
89.67473,22.90846,479467706,72.70506776
89.98576,22.9007,355147935,104.4673104
89.27012,22.90686,413857616,31.6406739
89.5583,22.8956,474057852,60.67131633
90.01582,22.89337,355147427,107.5038005
89.27755,22.90554,413857917,32.35091127
89.007,22.90324,874371340,6.538445639
89.38437,22.89624,473020334,42.95357226
89.86143,22.90501,359166158,91.76384193
89.34432,22.90598,413876693,39.07310821
89.29274,22.89618,413857770,33.67038451
89.42112,22.89766,473061620,46.71116633
89.89737,22.90648,359176655,95.45546883
89.24348,22.88469,413828014,28.46952624
89.01412,22.90197,874371629,7.114485077
89.40242,22.89307,473061610,44.74169387
89.20632,22.89311,413838042,24.91849608
89.035,22.89558,874331263,8.734729413
88.98427,22.89729,874371365,4.237553877
89.38909,22.90231,473020778,43.53264267
88.97041,22.89518,874307654,2.807850271
89.27174,22.89583,413857217,31.5456864
